current_belt;gender;training_years;favourite;white_blue;blue_purple;purple_brown;brown_black;training_per_week;both_gi_nogi;gi_or_no_gi;training_time;travel;how_old_when_started;mobility_exercises;yoga;preferred_style;have_fav_athlete;leg_lock_friendly;gym_self_defense;membership;gym_curriculum;time_watching_bjj;do_watch_sport_bjj;num_gis;num_rashguards;num_shorts;bjj_apparel;money_for_gear;education;income;age;age_cat;race;nationality;country;instrutor_encourages_competition;competed;choke
blue belt;Female; 2-4 years;physical activity mixed with mental activity; 0-2 years;no answer;no answer;no answer;3-4 times;No;Gi;Morning;No;'36-40';No;No;Open Guard;No;Only at certain belt levels;not a focus;$201-300;Yes;0-1 hour;Yes;'3-4';'1-2';'1-2';Yes;$101-200;Bachelor's Degree;$100K+;38;35-40;White/Caucasian;Usa;USA;Yes;No;Yes
white belt;Female; 0-2 years;learning techniques then putting them into practice;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Lunch;No;'36-40';No;No;Closed guard;No;Yes;one of the focuses;$101-200;Yes;0-1 hour;No;'3-4';'1-2';'1-2';Yes;$101-200;Associate's Degree;$ 26K-50K;36;35-40;White/Caucasian;American;USA;Yes;Yes;No
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$100K+;37;35-40;White/Caucasian;Who cares?;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Associate's Degree;$ 0-25K;26;25-30;White/Caucasian;USA;USA;no answer;no answer;no answer
white belt;Male; 0-2 years;no answer;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'21-25';no answer;no answer;Closed guard;no answer;Only at certain belt levels;not a focus;no answer;No;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;$100K+;26;25-30;White/Caucasian;no answer;no answer;no answer;no answer;no answer
purple belt;Male; 4-6 years;no answer; 2-4 years; 0-2 years;no answer;no answer;3-4 times;Yes;Gi;Morning;Yes;'11-15';No;No;Open Guard;Yes;Yes;not a focus;no answer;No;no answer;No;no answer;no answer;no answer;no answer;no answer;Associate's Degree;$ 0-25K;20;20-25;Hispanic/Latino;U.s;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;noticable self improvement week by week and a lot of fun moments during rolls; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'21-25';No;No;Closed guard;Yes;Yes;one of the focuses;no answer;No;no answer;Yes;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 0-25K;21;20-25;White/Caucasian;Greece;Greece;Yes;No;Yes
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 0-25K;no answer;no answer;White/Caucasian;United States of America;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Associate's Degree;$ 76K-100K;36;35-40;White/Caucasian;Merica;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Master's Degree;$ 26K-50K;30;30-35;White/Caucasian;French;France;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;26;25-30;White/Caucasian;UK;UK;no answer;no answer;no answer
blue belt;Male; 2-4 years;rolling; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'21-25';No;No;Pressure Passing;Yes;Yes;one of the focuses;$ 51-100;Yes;1 hour -2 hours;No;'3-4';'3-4';'1-2';Yes;$ 51-100;Bachelor's Degree;$ 0-25K;25;25-30;White/Caucasian;german;Germany;Yes;Yes;Yes
purple belt;Male; 4-6 years;rolling comp training social aspect; 0-2 years; 0-2 years;no answer;no answer;5-6 times;Yes;Gi;Morning;Yes;'16-20';Yes;No;Closed guard;Yes;Only at certain belt levels;not a focus;$ 51-100;Yes;1 hour -2 hours;Yes;'3-4';'7+';'3-4';Yes;$ 51-100;High School/GED;$ 0-25K;22;20-25;White/Caucasian;english;UK;Yes;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 26K-50K;27;25-30;White/Caucasian;Canada;Canada;no answer;no answer;no answer
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Other;$ 0-25K;21;20-25;White/Caucasian;England;UK;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Associate's Degree;$ 51k-75K;37;35-40;White/Caucasian;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$100K+;47;45-50;White/Caucasian;American;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;23;20-25;White/Caucasian;Ireland;Ireland;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Master's Degree;$ 51k-75K;36;35-40;White/Caucasian;American;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$100K+;32;30-35;Hispanic/Latino;no answer;no answer;no answer;no answer;no answer
no rank;Female;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;28;25-30;White/Caucasian;United States ;USA;no answer;no answer;no answer
no rank;Female;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 0-25K;24;20-25;White/Caucasian;American ;USA;no answer;no answer;no answer
blue belt;Female; 2-4 years;everything; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';No;No;Open Guard;No;Only at certain belt levels;one of the focuses;no answer;Yes;no answer;Yes;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$100K+;37;35-40;White/Caucasian;no answer;no answer;Yes;Yes;Yes
blue belt;Male; 8-10 years;developing new position submission flows general physical competition; 2-4 years;no answer;no answer;no answer;3-4 times;No;Gi;Evening;No;'21-25';No;No;Closed guard;No;No;not a focus;$101-200;No;0-1 hour;Yes;'3-4';'1-2';'3-4';No;$101-200;Master's Degree;$ 51k-75K;33;30-35;White/Caucasian;USA;USA;Yes;Yes;Yes
blue belt;Female; 2-4 years;friendships and fun; 0-2 years;no answer;no answer;no answer;1-2 times;Yes;Gi;Evening;Yes;'26-30';No;No;Pressure Passing;No;Only at certain belt levels;one of the focuses;no answer;Yes;no answer;Yes;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;31;30-35;no answer;usa;USA;Yes;Yes;no answer
white belt;Female; 0-2 years;learning fundamentals;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Morning;No;'36-40';No;No;Open Guard;No;Only at certain belt levels;one of the focuses;no answer;Yes;no answer;No;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;39;35-40;White/Caucasian;US;USA;Yes;No;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 76K-100K;33;30-35;White/Caucasian;no answer;no answer;no answer;no answer;no answer
purple belt;Male; 6-8 years;team camaraderie and the personal challenge; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Yes;one of the focuses;$ 0-50;No;0-1 hour;No;'5-6';'7+';'3-4';No;$101-200;Bachelor's Degree;$ 51k-75K;29;25-30;Asian/Pacific Islander;USA;USA;Yes;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Other;$ 76K-100K;40;40-45;White/Caucasian;Canadian;Canada;no answer;no answer;no answer
purple belt;Male; 4-6 years;no answer; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;No-gi;Evening;Yes;'21-25';No;No;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;no answer;No;no answer;Yes;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 26K-50K;27;25-30;White/Caucasian;American;USA;Yes;Yes;No
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 0-25K;18;15-20;White/Caucasian;Canadian;Canada;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;JD;$ 76K-100K;41;40-45;White/Caucasian;United States of America;USA;no answer;no answer;no answer
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
white belt;Male; 2-4 years;rolling and grappling with training partners;no answer;no answer;no answer;no answer;1-2 times;Yes;No-gi;Lunch;No;'16-20';No;No;Pressure Passing;Yes;Yes;not a focus;$ 0-50;Yes;0-1 hour;Yes;no answer;'1-2';no answer;Yes;$ 0-50;Bachelor's Degree;$ 26K-50K;27;25-30;Black/African American;Carribean-American;USA;Yes;No;Yes
white belt;Female; 2-4 years;i really enjoy the ah ha moments when something comes naturally;no answer;no answer;no answer;no answer;1-2 times;Yes;No-gi;Evening;No;'26-30';No;No;Open Guard;No;Yes;not a focus;$ 51-100;No;0-1 hour;Yes;'3-4';'5-6';'1-2';Yes;$201-300;Bachelor's Degree;$ 76K-100K;28;25-30;White/Caucasian;United States;USA;Yes;Yes;No
purple belt;Male; 6-8 years;technique; 0-2 years; 2-4 years;no answer;no answer;1-2 times;Yes;No-gi;Morning;Yes;'16-20';No;No;Open Guard;Yes;Yes;not a focus;no answer;No;no answer;Yes;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;24;20-25;White/Caucasian;American;USA;Yes;Yes;No
white belt;Male; 0-2 years;self defence ability;no answer;no answer;no answer;no answer;3-4 times;No;Gi;Evening;No;'26-30';Yes;Yes;Open Guard;Yes;Only at certain belt levels;one of the focuses;$101-200;No;1 hour -2 hours;Yes;'3-4';'3-4';no answer;Yes;$201-300;Master's Degree;$ 26K-50K;27;25-30;White/Caucasian;British;UK;Yes;No;Yes
purple belt;Male; 2-4 years;the community and friendships; 0-2 years; 0-2 years;no answer;no answer;5-6 times;Yes;Gi;Evening;Yes;'21-25';No;Yes;Open Guard;Yes;Only at certain belt levels;one of the focuses;no answer;No;no answer;Yes;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;26;25-30;White/Caucasian;United States;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;rolling;no answer;no answer;no answer;no answer;3-4 times;Yes;No-gi;Evening;No;'21-25';No;No;Pressure Passing;No;Only at certain belt levels;not a focus;$ 51-100;No;1 hour -2 hours;No;'1-2';'3-4';'3-4';No;$201-300;Bachelor's Degree;$ 26K-50K;22;20-25;White/Caucasian;Colombian;Colombia;Yes;No;No
brown belt;Male; 6-8 years;i really love constructing games for other people around their body type and interedts and putting sequences of techniques together plus sparring is the only way i believe i truly reach a meditative state; 2-4 years; 2-4 years; 0-2 years;no answer;5-6 times;Yes;Gi;Morning;Yes;'16-20';No;Yes;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$ 0-50;Yes;1 hour -2 hours;Yes;'3-4';'3-4';'1-2';Yes;$ 0-50;Bachelor's Degree;$ 0-25K;26;25-30;White/Caucasian;American;USA;Yes;Yes;Yes
brown belt;Male; 8-10 years;honestly i enjoy it all the drilling the beatings you take during training learning new positions and of course the friendships you develop is amazing; 0-2 years; 2-4 years; 0-2 years;no answer;3-4 times;No;Gi;Lunch;Yes;'31-35';Yes;Yes;Pressure Passing;Yes;Yes;one of the focuses;$101-200;Yes;1 hour -2 hours;Yes;'5-6';'7+';'1-2';Yes;$301-400;Bachelor's Degree;$ 51k-75K;39;35-40;Hispanic/Latino;American;USA;Yes;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 0-25K;18;15-20;White/Caucasian;Italy;Italy;no answer;no answer;no answer
brown belt;Male;12+ years;confidence in self defense teaching; 6-8 years; 2-4 years; 2-4 years;no answer;3-4 times;No;Gi;Evening;Yes;'26-30';No;Yes;Closed guard;Yes;Yes;primary focus;no answer;Yes;no answer;Yes;no answer;no answer;no answer;no answer;no answer;High School/GED;$ 76K-100K;38;35-40;White/Caucasian;USA ;USA;No;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 51k-75K;28;25-30;White/Caucasian;Canada;Canada;no answer;no answer;no answer
no rank;Female;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Associate's Degree;$ 51k-75K;33;30-35;White/Caucasian;American;USA;no answer;no answer;no answer
blue belt;Male; 2-4 years;increased sensitivity e g weight distribution and better understanding of body mechanics and leverage becoming efficient in other words learning new techniques and finally being able to make them a part of the game is always fun too keeping in shape without thinking about it; 0-2 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;Yes;'31-35';Yes;Yes;Pressure Passing;Yes;Yes;primary focus;$101-200;Yes;0-1 hour;Yes;'3-4';'3-4';'1-2';Yes;$201-300;JD;$ 26K-50K;36;35-40;Asian/Pacific Islander;USA;USA;Yes;Yes;Yes
white belt;Male; 0-2 years;the comradare;no answer;no answer;no answer;no answer;5-6 times;Yes;Gi;Morning;Yes;'40+';Yes;Yes;Closed guard;No;Only at certain belt levels;primary focus;$101-200;Yes;1 hour -2 hours;Yes;'1-2';'5-6';'1-2';No;$ 51-100;Associate's Degree;$ 76K-100K;45;45-50;White/Caucasian;United States of America ;USA;Yes;No;Yes
blue belt;Female; 2-4 years;the comradarie and trust between classmates that come from testing each other and suffering together while being safe i also love fighting to survive on the bottom and the feelings of accomplishment that comes from doing it well; 0-2 years;no answer;no answer;no answer;3-4 times;No;Gi;Evening;Yes;'31-35';Yes;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;0-1 hour;Yes;'3-4';'1-2';no answer;Yes;$101-200;Bachelor's Degree;$ 0-25K;36;35-40;Asian/Pacific Islander;United States;USA;No;No;Yes
white belt;Male; 0-2 years;improved physical fitness camaraderie;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Morning;No;'40+';Yes;Yes;Pressure Passing;No;Yes;one of the focuses;$101-200;No;0-1 hour;Yes;'3-4';'5-6';'1-2';No;$201-300;Ph.D.;$100K+;41;40-45;White/Caucasian;USA;USA;Yes;No;No
white belt;Male; 0-2 years;feeling like you improved regardless of getting submitted;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;No;'16-20';No;No;Closed guard;Yes;Only at certain belt levels;one of the focuses;no answer;Yes;no answer;Yes;no answer;no answer;no answer;no answer;no answer;Master's Degree;$ 0-25K;20;20-25;Asian/Pacific Islander;Canadian;Canada;Yes;No;Yes
blue belt;Male; 0-2 years;community; 0-2 years;no answer;no answer;no answer;3-4 times;No;Gi;Lunch;Yes;'21-25';No;No;Closed guard;No;Yes;primary focus;$101-200;No;0-1 hour;Yes;'1-2';'1-2';'1-2';No;$ 0-50;High School/GED;$ 0-25K;23;20-25;White/Caucasian;no answer;no answer;Yes;No;No
black belt;Male;12+ years;everything; 8-10 years; 4-6 years; 2-4 years; 4-6 years;7+ times;Yes;Gi;Evening;Yes;'26-30';Yes;No;Pressure Passing;Yes;Yes;one of the focuses;$ 0-50;No;1 hour -2 hours;Yes;'7+';'7+';'7+';No;$600+;High School/GED;$ 26K-50K;52;50+;White/Caucasian;American ;USA;Yes;Yes;no answer
blue belt;Male; 4-6 years;the interaction of doin what i love with my family; 2-4 years;no answer;no answer;no answer;5-6 times;Yes;No-gi;Morning;Yes;'11-15';Yes;Yes;Leg locking;Yes;Yes;one of the focuses;$ 51-100;Yes;1 hour -2 hours;Yes;'7+';'7+';'7+';Yes;$401-500;High School/GED;$ 0-25K;18;15-20;White/Caucasian;White American ;USA;Yes;Yes;No
blue belt;Male; 0-2 years;working through fights mentally; 0-2 years;no answer;no answer;no answer;1-2 times;No;Gi;Lunch;No;'31-35';No;No;Closed guard;Yes;Only at certain belt levels;primary focus;$101-200;Yes;0-1 hour;No;'1-2';'1-2';'1-2';Yes;$101-200;Bachelor's Degree;$100K+;35;35-40;Asian/Pacific Islander;US;USA;No;No;Yes
purple belt;Male; 6-8 years;health and way i feel; 0-2 years; 2-4 years;no answer;no answer;3-4 times;Yes;Gi;Morning;No;'36-40';No;Yes;Open Guard;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;0-1 hour;Yes;'7+';'7+';'3-4';Yes;$600+;Bachelor's Degree;$ 26K-50K;42;40-45;White/Caucasian;Italian American ;Italy;Yes;Yes;Yes
blue belt;Male; 2-4 years;fellowship; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'36-40';Yes;Yes;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$ 51-100;Yes;0-1 hour;Yes;'7+';'7+';'7+';Yes;$ 51-100;High School/GED;$100K+;39;35-40;Asian/Pacific Islander;USA ;USA;Yes;Yes;Yes
blue belt;Male; 2-4 years;no answer; 2-4 years;no answer;no answer;no answer;1-2 times;No;Gi;Lunch;No;'21-25';No;No;Closed guard;No;Yes;one of the focuses;$101-200;Yes;0-1 hour;No;'1-2';no answer;no answer;No;$ 0-50;Bachelor's Degree;$ 0-25K;27;25-30;White/Caucasian;USA;USA;Yes;Yes;Yes
purple belt;Male; 4-6 years;everything; 0-2 years; 2-4 years;no answer;no answer;7+ times;Yes;Gi;Evening;No;'21-25';Yes;Yes;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;3+ hours;Yes;'5-6';'3-4';'1-2';No;$101-200;High School/GED;$ 0-25K;30;30-35;Hispanic/Latino;American ;USA;No;Yes;no answer
blue belt;Male; 4-6 years;rolling; 2-4 years;no answer;no answer;no answer;3-4 times;Yes;Gi;Lunch;No;'31-35';No;Yes;Pressure Passing;Yes;Yes;not a focus;$ 51-100;No;1 hour -2 hours;Yes;'3-4';'1-2';no answer;No;$ 51-100;High School/GED;$ 26K-50K;37;35-40;White/Caucasian;Canadian;Canada;Yes;Yes;Yes
brown belt;Male; 8-10 years;teaching sharing seeing my kid s class students compete;no answer; 2-4 years; 2-4 years;no answer;5-6 times;Yes;No-gi;Evening;Yes;'36-40';Yes;No;Pressure Passing;Yes;Only at certain belt levels;primary focus;$ 51-100;No;1 hour -2 hours;Yes;'7+';'7+';'5-6';Yes;$301-400;MD;no answer;48;45-50;Native American/American Indian;American;USA;Yes;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;24;20-25;White/Caucasian;Usa;USA;no answer;no answer;no answer
white belt;Male; 2-4 years;the family atmosphere and the way i can leave all my worries outside when i step onto the mats;no answer;no answer;no answer;no answer;3-4 times;Yes;Gi;Evening;Yes;'31-35';Yes;No;Pressure Passing;Yes;Only at certain belt levels;one of the focuses;$101-200;Yes;2 hours - 3 hours;Yes;'7+';'7+';'7+';Yes;$600+;High School/GED;$ 0-25K;37;35-40;White/Caucasian;American ;USA;Yes;Yes;Yes
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
purple belt;Male; 6-8 years;personal achievement intellectual challenge; 2-4 years; 2-4 years;no answer;no answer;3-4 times;Yes;no answer;Evening;No;'26-30';Yes;No;Open Guard;No;Yes;one of the focuses;$ 0-50;No;1 hour -2 hours;Yes;'1-2';'1-2';'1-2';No;$ 51-100;Bachelor's Degree;$ 26K-50K;37;35-40;White/Caucasian;British;UK;Yes;Yes;Yes
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Master's Degree;$ 76K-100K;39;35-40;White/Caucasian;New Zealander;Germany;no answer;no answer;no answer
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;24;20-25;White/Caucasian;United States;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 51k-75K;32;30-35;White/Caucasian;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 51k-75K;44;40-45;White/Caucasian;American;USA;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;High School/GED;no answer;51;50+;White/Caucasian;USA ;USA;no answer;no answer;no answer
no rank;Female;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Bachelor's Degree;$ 26K-50K;29;25-30;White/Caucasian;American;USA;no answer;no answer;no answer
no rank;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Other;$ 51k-75K;43;40-45;White/Caucasian;Irish ;Ireland;no answer;no answer;no answer
no rank;Male;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;no answer;Master's Degree;$ 0-25K;24;20-25;White/Caucasian;American;USA;no answer;no answer;no answer
brown belt;Male;10-12 years;cardio exercise; 0-2 years; 2-4 years; 4-6 years;no answer;1-2 times;No;Gi;Evening;No;'26-30';No;No;Pressure Passing;No;Only at certain belt levels;one of the focuses;$101-200;No;0-1 hour;Yes;'3-4';'1-2';'1-2';No;$ 51-100;JD;$100K+;48;45-50;Hispanic/Latino;American;USA;Yes;Yes;No
